Title,Year,Languages,Ratings
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
The Incredible Hulk,2008,English;Porugese;Spanish,6.8
50 Shades of Gray,2011,English;Spanish;Japanese;Swahili,3.4
Sherlock Holmes,2009,French;English,7.6
Shrek,2008,English,10
